index,rdate,rid,hid,class,distance,jname,tname,exweight,bardraw,rating,horseweight,rank,finishm,win_t5,place_t5,ind_win,ind_pla,velocity,straight,width,humidity
110439,2019-10-09,5,6,51.20929941722318,1650,8.703008637464448,8.417372856134026,126.0,9.0,53.0,1115.0,12,10385.0,8.5,3.0,0,0,1588.8300433317283,338,26.5,3.0
110440,2019-10-09,5,7,51.20929941722318,1650,0.0,8.337109129562474,124.0,4.0,51.0,1070.0,5,10138.0,4.8,1.6,0,0,1627.5399487078319,338,26.5,3.0
110441,2019-10-09,5,8,51.20929941722318,1650,8.478244441277663,8.724207360800564,123.0,10.0,50.0,1119.0,9,10201.0,58.0,13.0,0,0,1617.4884815214195,338,26.5,3.0
110442,2019-10-09,5,9,51.20929941722318,1650,8.227375506834035,8.363575702750637,120.0,5.0,47.0,1026.0,2,10088.0,5.0,1.3,0,1,1635.6066613798573,338,26.5,3.0
110443,2019-10-09,5,10,51.20929941722318,1650,7.259116128097101,6.327936783729195,118.0,1.0,45.0,1127.0,1,10072.0,11.0,3.3,1,1,1638.2049245432884,338,26.5,3.0
110444,2019-10-09,5,11,51.20929941722318,1650,0.0,8.297294370266917,116.0,8.0,43.0,1151.0,7,10175.0,15.0,4.3,0,0,1621.6216216216217,338,26.5,3.0
110445,2019-10-09,5,12,51.20929941722318,1650,6.63200177739563,8.744647438317532,114.0,11.0,41.0,1073.0,4,10131.0,93.0,19.0,0,0,1628.6644951140065,338,26.5,3.0
110446,2019-10-09,6,1,51.20929941722318,1200,8.703008637464448,7.889084407035514,133.0,5.0,59.0,1036.0,5,7121.0,5.1,1.9,0,0,1685.1565791321443,338,26.5,3.0
110447,2019-10-09,6,2,51.20929941722318,1200,8.331827004436057,8.356789669923213,132.0,4.0,58.0,1118.0,2,7083.0,3.5,1.5,0,1,1694.1973739940704,338,26.5,3.0
110448,2019-10-09,6,3,51.20929941722318,1200,8.046869510959576,8.735364401103888,128.0,8.0,54.0,1082.0,3,7100.0,3.3,1.6,0,1,1690.1408450704225,338,26.5,3.0
110449,2019-10-09,6,4,51.20929941722318,1200,1.6094379124341003,8.417372856134026,126.0,11.0,52.0,1132.0,1,7081.0,14.0,3.5,1,1,1694.6758932354187,338,26.5,3.0
110450,2019-10-09,6,5,51.20929941722318,1200,8.478244441277663,7.820037989458753,126.0,7.0,52.0,1120.0,12,7296.0,99.0,28.0,0,0,1644.7368421052631,338,26.5,3.0
110451,2019-10-09,6,6,51.20929941722318,1200,8.035602692918582,8.740016691519521,125.0,9.0,51.0,1119.0,4,7103.0,8.7,2.8,0,0,1689.4270026749261,338,26.5,3.0
110452,2019-10-09,6,7,51.20929941722318,1200,8.227375506834035,8.297294370266917,125.0,3.0,51.0,1124.0,8,7144.0,13.0,2.3,0,0,1679.7312430011198,338,26.5,3.0
110453,2019-10-09,6,8,51.20929941722318,1200,8.335431477880796,8.337109129562474,122.0,10.0,48.0,999.0,9,7147.0,53.0,12.0,0,0,1679.0261648244018,338,26.5,3.0
110454,2019-10-09,6,9,51.20929941722318,1200,7.259116128097101,8.724207360800564,122.0,1.0,48.0,1111.0,6,7121.0,45.0,10.0,0,0,1685.1565791321443,338,26.5,3.0
110455,2019-10-09,6,10,51.20929941722318,1200,8.384347278082808,8.507142855562735,118.0,6.0,44.0,1232.0,7,7139.0,16.0,4.0,0,0,1680.9076901526823,338,26.5,3.0
110456,2019-10-09,6,11,51.20929941722318,1200,7.239214973779806,8.363575702750637,117.0,2.0,43.0,1019.0,10,7164.0,22.0,4.8,0,0,1675.0418760469013,338,26.5,3.0
110457,2019-10-09,6,12,51.20929941722318,1200,0.0,8.744647438317532,115.0,12.0,41.0,1037.0,11,7197.0,48.0,10.0,0,0,1667.3614005835766,338,26.5,3.0
110458,2019-10-09,7,1,87.77822148631537,1650,8.046869510959576,8.735364401103888,132.0,5.0,96.0,1073.0,5,9979.0,2.5,1.2,0,0,1653.4722918128068,338,26.5,3.0
110459,2019-10-09,7,2,87.77822148631537,1650,8.478244441277663,6.327936783729195,131.0,3.0,95.0,1158.0,3,9961.0,19.0,4.8,0,1,1656.4601947595622,338,26.5,3.0
110460,2019-10-09,7,3,87.77822148631537,1650,7.384610383176974,8.558718938244736,128.0,1.0,92.0,1025.0,8,10049.0,12.0,3.2,0,0,1641.954423325704,338,26.5,3.0
110461,2019-10-09,7,4,87.77822148631537,1650,8.703008637464448,8.297294370266917,127.0,2.0,91.0,1251.0,9,10092.0,12.0,3.2,0,0,1634.9583828775267,338,26.5,3.0
110462,2019-10-09,7,5,87.77822148631537,1650,0.0,8.740016691519521,126.0,6.0,90.0,1044.0,4,9964.0,7.7,2.3,0,0,1655.961461260538,338,26.5,3.0
110463,2019-10-09,7,6,87.77822148631537,1650,0.0,0.0,124.0,8.0,88.0,1061.0,10,10209.0,17.0,4.6,0,0,1616.2209814869234,338,26.5,3.0
110464,2019-10-09,7,7,87.77822148631537,1650,0.0,8.356789669923213,119.0,7.0,83.0,1091.0,2,9949.0,11.0,3.4,0,1,1658.4581364961302,338,26.5,3.0
110465,2019-10-09,7,8,87.77822148631537,1650,8.335431477880796,8.606302366488013,119.0,4.0,83.0,1172.0,1,9940.0,28.0,6.8,1,1,1659.959758551308,338,26.5,3.0
110466,2019-10-09,7,9,87.77822148631537,1650,7.259116128097101,7.889084407035514,119.0,9.0,83.0,1227.0,6,9984.0,6.1,1.7,0,0,1652.6442307692307,338,26.5,3.0
110467,2019-10-09,7,10,87.77822148631537,1650,8.035602692918582,8.417372856134026,118.0,10.0,82.0,1092.0,7,9985.0,7.9,2.6,0,0,1652.4787180771157,338,26.5,3.0
110468,2019-10-09,8,1,69.93396499768197,1200,8.035602692918582,8.337109129562474,133.0,8.0,79.0,1017.0,4,7031.0,44.0,10.0,0,0,1706.7273503057886,338,26.5,3.0
110469,2019-10-09,8,2,69.93396499768197,1200,0.0,8.454466361507933,132.0,1.0,78.0,1071.0,8,7074.0,32.0,7.8,0,0,1696.3528413910094,338,26.5,3.0
110470,2019-10-09,8,3,69.93396499768197,1200,0.0,0.0,122.61638888121101,4.0,69.93396499768197,1106.368874062333,0,100000.0,26.101661368452852,0.0,0,1,120.0,338,26.5,3.0
110471,2019-10-09,8,4,69.93396499768197,1200,7.9865049385539955,8.606302366488013,124.0,7.0,70.0,1148.0,9,7081.0,5.2,1.6,0,0,1694.6758932354187,338,26.5,3.0
110472,2019-10-09,8,5,69.93396499768197,1200,1.6094379124341003,8.262300941787448,124.0,3.0,70.0,1086.0,6,7054.0,13.0,2.7,0,0,1701.162461015027,338,26.5,3.0
110473,2019-10-09,8,6,69.93396499768197,1200,8.227375506834035,8.363575702750637,124.0,4.0,70.0,1160.0,10,7110.0,12.0,3.0,0,0,1687.7637130801688,338,26.5,3.0
110474,2019-10-09,8,7,69.93396499768197,1200,0.0,4.77912349311153,122.0,9.0,68.0,1102.0,1,7011.0,4.0,1.6,1,1,1711.5960633290542,338,26.5,3.0
110475,2019-10-09,8,8,69.93396499768197,1200,8.335431477880796,7.628517626575055,122.0,2.0,68.0,1244.0,11,7118.0,6.0,1.9,0,0,1685.866816521495,338,26.5,3.0
110476,2019-10-09,8,9,69.93396499768197,1200,8.331827004436057,8.27893600229198,121.0,6.0,67.0,1149.0,7,7059.0,47.0,12.0,0,0,1699.9575010624735,338,26.5,3.0
110477,2019-10-09,8,10,69.93396499768197,1200,8.703008637464448,7.889084407035514,121.0,10.0,67.0,1091.0,2,7023.0,3.1,1.6,0,1,1708.6715079026058,338,26.5,3.0
110478,2019-10-09,8,11,69.93396499768197,1200,8.384347278082808,8.724207360800564,115.0,11.0,61.0,1094.0,3,7027.0,60.0,13.0,0,1,1707.6988757649067,338,26.5,3.0
